defender,attacker,map,defenderPlayer,attackerPlayer,officialWinner,practicalResult,stopReason,endCycle,lastDamageCycle,defenderResources,attackerResources,defenderBases,defenderBarracks,defenderWorkers,defenderLights,defenderHeavies,defenderRanged,defenderMobile,defenderTotal,attackerBases,attackerBarracks,attackerWorkers,attackerLights,attackerHeavies,attackerRanged,attackerMobile,attackerTotal
FixedDefenseAI,WorkerRush,maps/custom/defense_open24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3532,0,0,1,1,1,10,0,0,11,13,1,0,0,0,0,0,0,1
FixedDefenseAI,WorkerRush,maps/custom/defense_open24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3659,0,0,1,1,1,6,0,0,7,9,1,0,0,0,0,0,0,1
FixedDefenseAI,LightRush,maps/custom/defense_open24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3675,0,0,1,1,1,6,0,0,7,9,1,1,0,0,0,0,0,2
FixedDefenseAI,LightRush,maps/custom/defense_open24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1787,1787,1,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,4,6
FixedDefenseAI,HeavyRush,maps/custom/defense_open24.xml,0,1,-1,UNRESOLVED,MAX_CYCLES,5000,3683,0,0,1,1,1,6,0,0,7,9,1,1,0,0,1,0,1,3
FixedDefenseAI,HeavyRush,maps/custom/defense_open24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3872,0,0,1,1,1,8,0,0,9,11,1,1,0,0,0,0,0,2
FixedDefenseAI,RangedRush,maps/custom/defense_open24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2165,2165,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,7
FixedDefenseAI,RangedRush,maps/custom/defense_open24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1280,1280,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,6,8
AdaptiveDefenseAI,WorkerRush,maps/custom/defense_open24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3532,0,0,1,1,1,10,0,0,11,13,1,0,0,0,0,0,0,1
AdaptiveDefenseAI,WorkerRush,maps/custom/defense_open24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3659,0,0,1,1,1,6,0,0,7,9,1,0,0,0,0,0,0,1
AdaptiveDefenseAI,LightRush,maps/custom/defense_open24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2047,2047,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,4,6
AdaptiveDefenseAI,LightRush,maps/custom/defense_open24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,3291,3291,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,4,6
AdaptiveDefenseAI,HeavyRush,maps/custom/defense_open24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3765,18,0,1,1,1,0,0,14,15,17,1,1,0,0,0,0,0,2
AdaptiveDefenseAI,HeavyRush,maps/custom/defense_open24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3815,8,0,1,1,1,3,0,10,14,16,1,1,0,0,0,0,0,2
AdaptiveDefenseAI,RangedRush,maps/custom/defense_open24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2165,2165,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,7
AdaptiveDefenseAI,RangedRush,maps/custom/defense_open24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1280,1280,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,6,8
FixedDefenseAI,WorkerRush,maps/custom/defense_wall24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3529,0,0,1,1,1,6,0,0,7,9,1,0,0,0,0,0,0,1
FixedDefenseAI,WorkerRush,maps/custom/defense_wall24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3737,0,0,1,1,1,9,0,0,10,12,1,0,0,0,0,0,0,1
FixedDefenseAI,LightRush,maps/custom/defense_wall24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3675,0,0,1,1,1,6,0,0,7,9,1,1,0,0,0,0,0,2
FixedDefenseAI,LightRush,maps/custom/defense_wall24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1313,1313,0,2,0,0,0,0,0,0,0,0,1,1,1,4,0,0,5,7
FixedDefenseAI,HeavyRush,maps/custom/defense_wall24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3986,0,0,1,1,0,3,0,0,3,5,1,1,0,0,0,0,0,2
FixedDefenseAI,HeavyRush,maps/custom/defense_wall24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3828,0,0,1,1,1,6,0,0,7,9,1,1,0,0,0,0,0,2
FixedDefenseAI,RangedRush,maps/custom/defense_wall24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2275,2275,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,7
FixedDefenseAI,RangedRush,maps/custom/defense_wall24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1280,1280,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,6,8
AdaptiveDefenseAI,WorkerRush,maps/custom/defense_wall24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3529,0,0,1,1,1,6,0,0,7,9,1,0,0,0,0,0,0,1
AdaptiveDefenseAI,WorkerRush,maps/custom/defense_wall24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3737,0,0,1,1,1,9,0,0,10,12,1,0,0,0,0,0,0,1
AdaptiveDefenseAI,LightRush,maps/custom/defense_wall24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2047,2047,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,4,6
AdaptiveDefenseAI,LightRush,maps/custom/defense_wall24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1233,1233,2,2,0,0,0,0,0,0,0,0,1,1,1,4,0,0,5,7
AdaptiveDefenseAI,HeavyRush,maps/custom/defense_wall24.xml,0,1,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3905,10,0,1,1,1,2,0,13,16,18,1,1,0,0,0,0,0,2
AdaptiveDefenseAI,HeavyRush,maps/custom/defense_wall24.xml,1,0,-1,ATTACKER_MOBILE_ELIMINATED,MAX_CYCLES,5000,3945,4,0,1,1,1,2,0,13,16,18,1,1,0,0,0,0,0,2
AdaptiveDefenseAI,RangedRush,maps/custom/defense_wall24.xml,0,1,1,DEFENDER_BASE_LOST,GAME_OVER,2275,2275,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,7
AdaptiveDefenseAI,RangedRush,maps/custom/defense_wall24.xml,1,0,0,DEFENDER_BASE_LOST,GAME_OVER,1280,1280,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,6,8
